Dist,Incumbent_x,PVI,Clinton %,Trump %,Obama %,Romney %,split_x,state,num,District,2017 CPVI,Incumbent_y,Last result,Cook,IE,Sabato,Politico,Daily Kos,RCP,Niskanen,Safe R,Likely R,Lean R,Tilt R,Tossup,Safe D,Likely D,Lean D,Tilt D,Consensus,Max,Confidence,split_y
NJ-08,Albio Sires (D),D+27,75.7,21.5,79.0,21.0,"['NJ', '08']",NJ,8,,,,,,,,,,,,,,,,,,,,,,,,
NJ-09,Bill Pascrell (D),D+16,64.3,33.1,68.9,31.1,"['NJ', '09']",NJ,9,,,,,,,,,,,,,,,,,,,,,,,,
NJ-10,Donald Payne Jr. (D),D+36,85.2,12.8,88.5,11.6,"['NJ', '10']",NJ,10,,,,,,,,,,,,,,,,,,,,,,,,
NJ-11,Mikie Sherrill (D),R+3,47.9,48.8,47.1,52.9,"['NJ', '11']",NJ,11,New Jersey 11,R+3,Mikie Sherrill  (D),56.8% D,Safe D,Safe D,Safe D,Lean D,Safe D,Likely D,Safe D,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,Safe D,5.0,0.7142857142857143,"['New Jersey', '11']"
NJ-12,Bonnie Watson Coleman (D),D+16,65.0,31.8,67.3,32.8,"['NJ', '12']",NJ,12,,,,,,,,,,,,,,,,,,,,,,,,
NM-01,Deb Haaland (D),D+7,51.6,35.1,55.3,39.6,"['NM', '01']",NM,1,,,,,,,,,,,,,,,,,,,,,,,,
NM-02,Xochitl Torres Small (D),R+6,39.9,50.1,44.9,51.7,"['NM', '02']",NM,2,New Mexico 2,R+6,Xochitl Torres Small  (D),50.9% D,Tossup,Tilt D,Lean D,Tossup,Tossup,Tossup,Lean D,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,Tossup,4.0,0.5714285714285714,"['New Mexico', '2']"
NM-03,Ben R. Lujan (D),D+8,51.8,36.7,57.5,38.7,"['NM', '03']",NM,3,,,,,,,,,,,,,,,,,,,,,,,,
NY-01,Lee Zeldin (R),R+5,41.8,54.0,49.5,49.0,"['NY', '01']",NY,1,New York 1,R+5,Lee Zeldin  (R),51.5% R,Lean R,Likely R,Lean R,Lean R,Lean R,Lean R,Lean R,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Lean R,6.0,0.8571428571428571,"['New York', '1']"
NY-02,Peter King (R),R+3,43.7,52.6,51.6,47.2,"['NY', '02']",NY,2,New York 2,R+3,Peter T. King  (R)  (Retiring),53.1% R,Tossup,Tossup,Lean R,Lean R,Tossup,Tossup,Lean R,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,Tossup,4.0,0.5714285714285714,"['New York', '2']"
NY-03,Tom Suozzi (D),D+1,51.2,45.1,50.7,48.2,"['NY', '03']",NY,3,New York 3,D+1,Thomas Suozzi  (D),59.0% D,Safe D,Safe D,Safe D,Likely D,Safe D,Safe D,Safe D,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Safe D,6.0,0.8571428571428571,"['New York', '3']"
NY-04,Kathleen Rice (D),D+4,53.0,43.4,55.7,43.3,"['NY', '04']",NY,4,,,,,,,,,,,,,,,,,,,,,,,,
NY-05,Gregory Meeks (D),D+37,85.4,12.6,89.7,9.9,"['NY', '05']",NY,5,,,,,,,,,,,,,,,,,,,,,,,,
NY-06,Grace Meng (D),D+16,64.7,31.9,67.7,31.0,"['NY', '06']",NY,6,,,,,,,,,,,,,,,,,,,,,,,,
NY-07,Nydia Velazquez (D),D+38,86.4,10.3,88.8,10.4,"['NY', '07']",NY,7,,,,,,,,,,,,,,,,,,,,,,,,
